A,B,C,D,AB,AC,BC,AD,BD,CD,ABC,ABD,ACD,BCD,topology
24604.434000068493,17700.57647387066,17700.57647387066,24810.370442584226,0.0,0.0,6903.857526197833,0.0,0.0,0.0,205.93644251573218,0.0,0.0,0.0,"(((B,C),A),D)"
12431.486704064526,21718.788398796427,12431.486704064526,17839.97149534632,0.0,5408.484791281792,0.0,0.0,0.0,0.0,0.0,0.0,3878.8169034501075,0.0,"(((A,C),D),B)"
11273.714640836957,11273.714640836957,11614.701480740665,27372.221511493342,340.986839903708,0.0,0.0,0.0,0.0,0.0,15757.52003075268,0.0,0.0,0.0,"(((A,B),C),D)"
10445.781372812451,10445.781372812451,17962.50548538982,17962.50548538982,10235.062520003092,0.0,0.0,0.0,0.0,2718.338407425726,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
29966.588550417382,13564.429834329068,104141.95988079572,13564.429834329068,0.0,0.0,0.0,0.0,16402.158716088314,0.0,0.0,74175.37133037834,0.0,0.0,"(((B,D),A),C)"
16076.72861980542,11704.278880553971,16076.72861980542,11704.278880553971,0.0,36788.14235956197,0.0,0.0,41160.59209881342,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
17307.409105737963,50520.325790325754,13741.358217268655,13741.358217268655,0.0,0.0,0.0,0.0,0.0,3566.05088846931,0.0,0.0,33212.91668458779,0.0,"(((C,D),A),B)"
13436.848109613413,24004.67584522695,13436.848109613413,15274.06288670204,0.0,1837.2147770886272,0.0,0.0,0.0,0.0,0.0,0.0,8730.612958524907,0.0,"(((A,C),D),B)"
14212.943452999763,14212.943452999763,17375.810410756123,26768.207959014566,3162.8669577563596,0.0,0.0,0.0,0.0,0.0,9392.397548258441,0.0,0.0,0.0,"(((A,B),C),D)"
13049.924907637083,13049.924907637083,34632.338842953235,18008.476622876664,4958.551715239581,0.0,0.0,0.0,0.0,0.0,0.0,16623.862220076575,0.0,0.0,"(((A,B),D),C)"
10624.223837905845,10624.223837905845,21409.46179326143,21409.46179326143,10850.545765246872,0.0,0.0,0.0,0.0,65.30780989128573,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
20467.708064307415,10318.54288217984,10318.54288217984,20467.708064307415,0.0,0.0,15980.407722914637,5831.242540787061,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
13589.021264912568,57727.75639171424,22926.660135122587,13589.021264912568,0.0,0.0,0.0,9337.63887021002,0.0,0.0,0.0,0.0,34801.09625659165,0.0,"(((A,D),C),B)"
10822.101133816042,10822.101133816042,41703.02911227317,12915.0062592223,2092.905125406258,0.0,0.0,0.0,0.0,0.0,0.0,28788.02285305087,0.0,0.0,"(((A,B),D),C)"
29044.386846612775,12519.584873588437,29044.386846612775,12519.584873588437,0.0,5626.790983302075,0.0,0.0,22151.592956326414,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
19676.02104260881,16139.95588991222,19676.02104260881,16139.95588991222,0.0,15512.089809099723,0.0,0.0,19048.154961796314,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
12401.870075708117,35698.41120996141,12401.870075708117,35596.36576073949,0.0,23194.495685031376,0.0,0.0,0.0,0.0,0.0,0.0,102.04544922191567,0.0,"(((A,C),D),B)"
29231.96482728912,19159.572995821676,40338.719119062924,19159.572995821676,0.0,0.0,0.0,0.0,10072.391831467443,0.0,0.0,11106.754291773806,0.0,0.0,"(((B,D),A),C)"
10570.009905631545,11832.303334329754,10570.009905631545,17759.112560172092,0.0,1262.2934286982081,0.0,0.0,0.0,0.0,5926.809225842338,0.0,0.0,0.0,"(((A,C),B),D)"
11432.418538752303,69888.72448795344,39954.889326515986,11432.418538752303,0.0,0.0,0.0,28522.470787763683,0.0,0.0,0.0,0.0,29933.835161437462,0.0,"(((A,D),C),B)"
16222.146496085017,30885.785696166873,30885.785696166873,16222.146496085017,0.0,0.0,16572.025812913256,31235.665012995116,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
13390.376381853188,13390.376381853188,30094.328021724734,30094.328021724734,19136.848114269535,0.0,0.0,0.0,0.0,2432.8964743979896,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
20226.504518931783,20707.27222503564,20226.504518931783,30269.579301652004,0.0,480.7677061038548,0.0,0.0,0.0,0.0,9562.307076616367,0.0,0.0,0.0,"(((A,C),B),D)"
26542.95111172355,11165.129333636982,11165.129333636982,26542.95111172355,0.0,0.0,50212.317883797215,34834.49610571065,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
12774.843615013477,12774.843615013477,31937.688634524657,17766.39157245929,4991.547957445816,0.0,0.0,0.0,0.0,0.0,0.0,14171.297062065365,0.0,0.0,"(((A,B),D),C)"
11032.328118476713,11977.585454845641,11032.328118476713,11977.585454845641,0.0,39863.407398692114,0.0,0.0,38918.150062323184,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
12302.628607231709,23814.64214067602,12302.628607231709,23814.64214067602,0.0,16668.422439570866,0.0,0.0,5156.408906126558,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
11859.014944956667,13147.636864679425,36066.123242665315,11859.014944956667,0.0,0.0,0.0,1288.6219197227585,0.0,0.0,0.0,22918.48637798589,0.0,0.0,"(((A,D),B),C)"
10336.030257528111,25555.944487431305,10336.030257528111,25284.973027341046,0.0,14948.942769812937,0.0,0.0,0.0,0.0,0.0,0.0,270.97146009025766,0.0,"(((A,C),D),B)"
11358.534746696112,15871.864960321871,74672.45710450305,11358.534746696112,0.0,0.0,0.0,4513.330213625759,0.0,0.0,0.0,58800.59214418118,0.0,0.0,"(((A,D),B),C)"
95433.65365107075,10588.666728654014,10588.666728654014,34473.226446182074,0.0,0.0,23884.559717528064,0.0,0.0,0.0,0.0,0.0,0.0,60960.427204888685,"(((B,C),D),A)"
31274.13334081007,112257.32111515649,40334.30023795102,31274.13334081007,0.0,0.0,0.0,9060.16689714095,0.0,0.0,0.0,0.0,71923.02087720546,0.0,"(((A,D),C),B)"
13310.708156275772,16655.648522482425,35250.833448113044,13310.708156275772,0.0,0.0,0.0,3344.940366206652,0.0,0.0,0.0,18595.184925630616,0.0,0.0,"(((A,D),B),C)"
17010.095171334997,17010.095171334997,14141.441348871573,14141.441348871573,12379.170713775735,0.0,0.0,0.0,0.0,15247.82453623916,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
10883.504535910537,23269.87214944142,10883.504535910537,35141.1033012142,0.0,12386.367613530881,0.0,0.0,0.0,0.0,11871.231151772776,0.0,0.0,0.0,"(((A,C),B),D)"
16546.419599767694,17469.231035689067,16546.419599767694,17646.743102243596,0.0,922.8114359213706,0.0,0.0,0.0,0.0,177.51206655452933,0.0,0.0,0.0,"(((A,C),B),D)"
98468.3029048622,23653.825929251758,18408.972264045773,18408.972264045773,0.0,0.0,0.0,0.0,0.0,5244.853665205985,0.0,0.0,0.0,74814.47697561044,"(((C,D),B),A)"
