A,B,C,D,AB,AC,BC,AD,BD,CD,ABC,ABD,ACD,BCD,topology
31128.69296541406,10971.982804418763,10971.982804418763,14753.239620508526,0.0,0.0,3781.2568160897627,0.0,0.0,0.0,0.0,0.0,0.0,16375.453344905533,"(((B,C),D),A)"
10705.355219197132,12554.365072110997,10705.355219197132,19905.060295744064,0.0,1849.009852913865,0.0,0.0,0.0,0.0,7350.695223633067,0.0,0.0,0.0,"(((A,C),B),D)"
10835.069044414542,11634.133769692668,10835.069044414542,11634.133769692668,0.0,1526.9744205370655,0.0,0.0,727.9096952589402,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
10308.04554688018,10308.04554688018,15124.10997353274,12757.382652759352,2449.3371058791727,0.0,0.0,0.0,0.0,0.0,0.0,2366.7273207733892,0.0,0.0,"(((A,B),D),C)"
10018.130787314216,10018.130787314216,19926.754493516855,13071.515067014514,3053.384279700299,0.0,0.0,0.0,0.0,0.0,0.0,6855.239426502341,0.0,0.0,"(((A,B),D),C)"
17147.837814890307,13860.313044354838,15074.30194348136,13860.313044354838,0.0,0.0,0.0,0.0,1213.9888991265218,0.0,0.0,0.0,0.0,2073.5358714089457,"(((B,D),C),A)"
10412.824297001875,11781.879480735484,10412.824297001875,11781.879480735484,0.0,9736.818355225581,0.0,0.0,8367.763171491972,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
12794.795761592888,10359.621012301392,10359.621012301392,12794.795761592888,0.0,0.0,16739.416167985546,14304.241418694048,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
16157.547978006938,13073.89716051701,24909.42776504086,13073.89716051701,0.0,0.0,0.0,0.0,3083.650817489928,0.0,0.0,8751.87978703392,0.0,0.0,"(((B,D),A),C)"
38626.14167324082,11143.445011296815,11143.445011296815,16498.37287095398,0.0,0.0,5354.927859657165,0.0,0.0,0.0,0.0,0.0,0.0,22127.76880228684,"(((B,C),D),A)"
15163.685415515489,14363.53563857863,14363.53563857863,32822.23290861162,0.0,0.0,800.1497769368581,0.0,0.0,0.0,17658.54749309613,0.0,0.0,0.0,"(((B,C),A),D)"
17102.898282891594,11648.254471526356,11648.254471526356,11680.994296947962,0.0,0.0,32.73982542160527,0.0,0.0,0.0,0.0,0.0,0.0,5421.903985943632,"(((B,C),D),A)"
12279.183908518895,12279.183908518895,11653.542171823186,11653.542171823186,498.2683960372714,0.0,0.0,0.0,0.0,1123.91013273298,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
16830.42605762345,12506.332154415033,16830.42605762345,12506.332154415033,0.0,2341.807073109579,0.0,0.0,6665.900976317995,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
12012.84239782984,12012.84239782984,13962.897490777712,19304.268640498878,1950.055092947873,0.0,0.0,0.0,0.0,0.0,5341.371149721168,0.0,0.0,0.0,"(((A,B),C),D)"
11439.012003504897,11969.018922717674,20518.899648787614,11439.012003504897,0.0,0.0,0.0,530.0069192127769,0.0,0.0,0.0,8549.88072606994,0.0,0.0,"(((A,D),B),C)"
20504.358163558292,14661.425415577207,40264.57639083577,14661.425415577207,0.0,0.0,0.0,0.0,5842.9327479810845,0.0,0.0,19760.218227277477,0.0,0.0,"(((B,D),A),C)"
21005.514425365873,11367.242545558496,14434.204826365454,11367.242545558496,0.0,0.0,0.0,0.0,3066.962280806957,0.0,0.0,0.0,0.0,6571.30959900042,"(((B,D),C),A)"
20920.89926396502,12190.409461631336,13030.76155711377,12190.409461631336,0.0,0.0,0.0,0.0,840.3520954824352,0.0,0.0,0.0,0.0,7890.13770685125,"(((B,D),C),A)"
12214.951322461484,11782.300138773457,26516.975007687433,11782.300138773457,0.0,0.0,0.0,0.0,432.6511836880273,0.0,0.0,14302.023685225948,0.0,0.0,"(((B,D),A),C)"
11298.257670619618,11625.7467417534,11298.257670619618,25117.41912800762,0.0,327.4890711337834,0.0,0.0,0.0,0.0,13491.672386254217,0.0,0.0,0.0,"(((A,C),B),D)"
18266.804083437914,14481.121857846809,11910.755158951406,11910.755158951406,0.0,0.0,0.0,0.0,0.0,2570.366698895403,0.0,0.0,0.0,3785.6822255911065,"(((C,D),B),A)"
15159.004399149277,13038.647832953851,15159.004399149277,13038.647832953851,0.0,11152.234041004816,0.0,0.0,13272.590607200242,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
10920.90938182584,11940.432727237736,10920.90938182584,37362.097821865085,0.0,1019.523345411896,0.0,0.0,0.0,0.0,25421.665094627348,0.0,0.0,0.0,"(((A,C),B),D)"
10306.53789280654,15721.534266872864,10306.53789280654,37651.791897837524,0.0,5414.996374066324,0.0,0.0,0.0,0.0,21930.257630964657,0.0,0.0,0.0,"(((A,C),B),D)"
11122.106505951682,11122.106505951682,17767.649326178314,13176.183504886581,2054.0769989348996,0.0,0.0,0.0,0.0,0.0,0.0,4591.465821291733,0.0,0.0,"(((A,B),D),C)"
15371.416113049738,13883.172272648153,13883.172272648153,22028.93104782507,0.0,0.0,1488.2438404015857,0.0,0.0,0.0,6657.514934775334,0.0,0.0,0.0,"(((B,C),A),D)"
17631.384247368656,15392.766351466731,36908.54911506606,15392.766351466731,0.0,0.0,0.0,0.0,2238.6178959019257,0.0,0.0,19277.164867697404,0.0,0.0,"(((B,D),A),C)"
10941.135901699454,15614.557256947002,10941.135901699454,14599.674901639199,0.0,3658.5389999397444,0.0,0.0,0.0,0.0,0.0,0.0,1014.8823553078034,0.0,"(((A,C),D),B)"
11419.342295472012,11334.767132681307,11334.767132681307,11419.342295472012,0.0,0.0,4215.013492841422,4130.438330050716,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
19226.24141233844,14974.022799232047,19226.24141233844,14974.022799232047,0.0,4888.876456467502,0.0,0.0,9141.095069573897,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
11671.148296036044,14511.951227426754,11671.148296036044,14511.951227426754,0.0,14960.809625174687,0.0,0.0,12120.006693783977,0.0,0.0,0.0,0.0,0.0,"((A,C),(B,D))"
13219.745233946074,13219.745233946074,22587.801826609484,17477.348017563345,4257.602783617271,0.0,0.0,0.0,0.0,0.0,0.0,5110.453809046139,0.0,0.0,"(((A,B),D),C)"
10253.445140350654,28330.282045482752,10253.445140350654,15021.604213192522,0.0,4768.159072841869,0.0,0.0,0.0,0.0,0.0,0.0,13308.677832290232,0.0,"(((A,C),D),B)"
13131.16359968816,21935.50681358493,14854.69442750698,13131.16359968816,0.0,0.0,0.0,1723.530827818821,0.0,0.0,0.0,0.0,7080.812386077951,0.0,"(((A,D),C),B)"
13031.772247312847,19614.299970139138,13031.772247312847,15901.518322114427,0.0,2869.7460748015797,0.0,0.0,0.0,0.0,0.0,0.0,3712.7816480247106,0.0,"(((A,C),D),B)"
10496.398498871535,10496.398498871535,20072.840818988283,20072.840818988283,24620.147503212687,0.0,0.0,0.0,0.0,15043.705183095939,0.0,0.0,0.0,0.0,"((A,B),(C,D))"
