Locus,mean_p,crossmatch500_n150,crossmatch1000_n150
1,0.0,3.7815155489203834e-14,0.6125471298438041
2,0.0,3.7815155489203834e-14,0.7300736583970024
3,1.0,5.803165383582759e-09,0.3564403050771985
4,0.0,1.4465852510016045e-35,0.7300736583970024
5,0.04,1.4517975705766154e-19,0.8264751653621575
6,0.02,1.4517975705766154e-19,0.4836456816169032
7,0.22,3.7815155489203834e-14,0.3564403050771985
8,0.0,1.4465852510016045e-35,0.153278693470297
9,0.0,1.0672425798920681e-16,0.2434943083534172
10,0.0,3.946587227974094e-21,0.0884747940227254
11,0.0,1.4465852510016045e-35,0.153278693470297
12,0.14,2.034165714854055e-38,0.8264751653621575
13,0.06,1.0672425798920681e-16,0.153278693470297
14,0.1,4.159819683607584e-08,0.3564403050771985
15,0.12,4.337143986205486e-18,0.6125471298438041
16,0.0,1.4517975705766154e-19,0.7300736583970024
17,0.2,4.337143986205486e-18,0.2434943083534172
18,0.1,7.090295024924208e-10,0.6125471298438041
19,0.0,1.791489302730929e-28,0.6125471298438041
20,0.26,1.4537580228912626e-24,0.0097235777100825
21,0.42,6.972812605535759e-12,0.2434943083534172
22,0.28,3.946587227974094e-21,0.4836456816169032
23,0.88,4.337143986205486e-18,0.8975934104885139
24,0.0,2.1891373068121547e-15,0.3564403050771985
25,0.24,7.090295024924208e-10,0.4836456816169032
26,0.12,3.7815155489203834e-14,0.9447607606698496
27,0.18,7.090295024924208e-10,0.4836456816169032
28,0.0,3.946587227974094e-21,0.022360515618607
29,0.0,1.4537580228912626e-24,0.6125471298438041
30,0.0,7.090295024924208e-10,0.0466314598556144
31,0.0,6.972812605535759e-12,0.7300736583970024
32,0.04,7.090295024924208e-10,0.6125471298438041
33,0.9,7.55113285047831e-11,0.0884747940227254
34,0.96,5.549670323303732e-13,0.4836456816169032
35,0.0,1.791489302730929e-28,0.7300736583970024
36,0.04,7.090295024924208e-10,0.7300736583970024
37,0.0,1.879886123549499e-26,0.6125471298438041
38,0.16,1.2037696161728785e-30,0.2434943083534172
39,0.36,2.1891373068121547e-15,0.7300736583970024
40,0.0,3.946587227974094e-21,0.0884747940227254
41,0.0,1.0672425798920681e-16,0.153278693470297
42,0.0,3.946587227974094e-21,0.4836456816169032
43,0.02,7.55113285047831e-11,0.6125471298438041
44,0.0,1.2037696161728785e-30,0.7300736583970024
45,0.0,1.4465852510016045e-35,0.022360515618607
46,0.0,1.4537580228912626e-24,0.2434943083534172
47,0.02,7.090295024924208e-10,0.2434943083534172
48,0.0,7.55113285047831e-11,0.2434943083534172
49,0.0,1.879886123549499e-26,0.0884747940227254
50,0.66,2.1891373068121547e-15,0.3564403050771985
51,0.0,5.363432156886097e-33,0.7300736583970024
52,0.64,1.4517975705766154e-19,0.8264751653621575
53,0.4,8.565678647612969e-23,0.3564403050771985
54,0.08,5.549670323303732e-13,0.7300736583970024
55,0.02,1.4537580228912626e-24,0.4836456816169032
56,0.16,7.090295024924208e-10,0.8264751653621575
57,0.0,5.363432156886097e-33,0.6125471298438041
58,0.34,7.55113285047831e-11,0.3564403050771985
59,0.0,1.4537580228912626e-24,0.6125471298438041
60,0.1,7.55113285047831e-11,0.2434943083534172
61,0.0,8.565678647612969e-23,0.0884747940227254
62,0.0,1.0672425798920681e-16,0.4836456816169032
63,0.08,8.565678647612969e-23,0.3564403050771985
64,0.4,1.4517975705766154e-19,0.8975934104885139
65,0.02,2.1891373068121547e-15,0.8264751653621575
66,0.0,6.972812605535759e-12,0.8264751653621575
67,0.02,4.337143986205486e-18,0.7300736583970024
68,0.04,4.159819683607584e-08,0.2434943083534172
69,0.0,1.0672425798920681e-16,0.6125471298438041
70,0.0,1.4537580228912626e-24,0.2434943083534172
71,0.38,6.972812605535759e-12,0.2434943083534172
72,0.0,1.0672425798920681e-16,0.6125471298438041
73,0.46,4.337143986205486e-18,0.4836456816169032
74,0.0,2.034165714854055e-38,0.7300736583970024
75,0.0,1.0672425798920681e-16,0.9728675975220928
76,0.0,1.2037696161728785e-30,0.2434943083534172
77,0.52,4.159819683607584e-08,0.7300736583970024
78,0.06,2.1891373068121547e-15,0.3564403050771985
79,0.0,3.7815155489203834e-14,0.8975934104885139
80,0.04,4.337143986205486e-18,0.2434943083534172
81,0.22,3.7815155489203834e-14,0.0884747940227254
82,0.06,3.7815155489203834e-14,0.3564403050771985
83,0.8,6.972812605535759e-12,0.0466314598556144
84,0.0,5.549670323303732e-13,0.3564403050771985
85,0.0,1.4537580228912626e-24,0.9447607606698496
86,0.0,3.946587227974094e-21,0.4836456816169032
87,0.04,3.946587227974094e-21,0.8264751653621575
88,0.0,1.0672425798920681e-16,0.8975934104885139
89,0.0,1.4517975705766154e-19,0.6125471298438041
90,0.82,4.337143986205486e-18,0.2434943083534172
91,0.0,5.549670323303732e-13,0.7300736583970024
92,0.36,5.549670323303732e-13,0.9447607606698496
93,0.0,5.363432156886097e-33,0.7300736583970024
94,0.0,5.803165383582759e-09,0.6125471298438041
95,0.02,6.972812605535759e-12,0.9447607606698496
