Locus,P_Value,pval_exact,pval_normal,reject_mean,reject_cross
1,0.0,0.9254989684163766,0.9001578354254716,True,False
152,0.0,0.693739052427785,0.6367081540117681,True,False
153,0.0,0.3340491062402859,0.2799115437617267,True,False
154,0.0,0.3340491062402859,0.2799115437617267,True,False
155,0.06,0.4534260221061296,0.3927424456846488,False,False
156,0.18,0.9254989684163766,0.9001578354254716,False,False
157,0.0,0.3340491062402859,0.2799115437617267,True,False
158,0.0,0.4534260221061296,0.3927424456846488,True,False
159,0.98,0.577187926065782,0.5154541933686199,False,False
160,0.0,0.870880621142364,0.8343566651753223,True,False
161,0.0,0.793435284547114,0.7455654134126762,True,False
162,0.14,0.3340491062402859,0.2799115437617267,False,False
163,0.98,0.0861042833935784,0.064774574299697,False,False
164,0.42,0.0861042833935784,0.064774574299697,False,False
165,0.0,0.693739052427785,0.6367081540117681,True,False
166,0.0,0.577187926065782,0.5154541933686199,True,False
167,0.0,0.4534260221061296,0.3927424456846488,True,False
168,0.56,0.793435284547114,0.7455654134126762,False,False
169,0.0,0.3340491062402859,0.2799115437617267,True,False
170,0.48,0.693739052427785,0.6367081540117681,False,False
171,0.0,0.0232248873045586,0.0162691656041489,True,True
172,0.0,0.693739052427785,0.6367081540117681,True,False
173,0.0,0.4534260221061296,0.3927424456846488,True,False
174,0.0,0.693739052427785,0.6367081540117681,True,False
175,0.0,0.9254989684163766,0.9001578354254716,True,False
176,0.7,0.0466774920337587,0.0338643114694606,False,True
177,0.0,0.0466774920337587,0.0338643114694606,True,True
178,0.0,0.870880621142364,0.8343566651753223,True,False
179,0.0,0.9807486618053184,0.9715646561789084,True,False
180,0.0,0.3340491062402859,0.2799115437617267,True,False
181,0.0,0.9254989684163766,0.9001578354254716,True,False
182,0.36,0.1462319161988962,0.1141101023112072,False,False
183,1.0,0.0861042833935784,0.064774574299697,False,False
184,0.0,0.577187926065782,0.5154541933686199,True,False
185,0.0,0.3340491062402859,0.2799115437617267,True,False
186,0.06,0.0105773780267673,0.0071694355671918,False,True
187,0.0,0.577187926065782,0.5154541933686199,True,False
188,0.84,0.793435284547114,0.7455654134126762,False,False
189,0.96,0.577187926065782,0.5154541933686199,False,False
190,0.0,0.9604557320527128,0.94446222340395,True,False
191,0.0,0.0232248873045586,0.0162691656041489,True,True
192,0.02,0.3340491062402859,0.2799115437617267,True,False
193,0.02,0.0861042833935784,0.064774574299697,True,False
194,0.0,0.793435284547114,0.7455654134126762,True,False
195,0.0,0.0861042833935784,0.064774574299697,True,False
196,0.0,0.577187926065782,0.5154541933686199,True,False
197,0.0,0.229457108564425,0.1856528506020383,True,False
198,0.36,0.577187926065782,0.5154541933686199,False,False
199,0.0,0.1462319161988962,0.1141101023112072,True,False
200,0.0,0.0861042833935784,0.064774574299697,True,False
201,0.4,0.577187926065782,0.5154541933686199,False,False
202,0.04,0.693739052427785,0.6367081540117681,True,False
203,0.0,0.4534260221061296,0.3927424456846488,True,False
204,0.02,0.0466774920337587,0.0338643114694606,True,True
205,0.0,0.9604557320527128,0.94446222340395,True,False
206,0.0,0.577187926065782,0.5154541933686199,True,False
207,0.0,0.693739052427785,0.6367081540117681,True,False
208,0.0,0.693739052427785,0.6367081540117681,True,False
