,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Tree9,Tree10,Tree11,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Tree18,Tree19,Tree20,Tree21,Tree22,Tree23,Tree24,Tree25,Tree26,Tree27,Tree28,Tree29,Tree30,Tree31,Tree32,Tree33,Tree34,Tree35,Tree36,Tree37,Tree38,Tree39,Tree40,Tree41,Tree42,Tree43,Tree44,Tree45,Tree46,Tree47,Tree48,Tree49,Tree50
Tree21,123.19188360738526,109.81322788559196,128.84584469200323,129.35776709983836,113.42003934141157,133.15579449368255,114.19323902833546,142.0846744436627,115.8867135193637,121.09840829845731,130.30585934065087,124.48779962132372,115.03809825272656,123.50141742212936,128.75436237468702,133.93567854303913,141.9104194881714,133.61881772889845,115.02208005270352,132.46951908731754,0.0,129.83498283895415,135.04408148439524,126.85067273688988,141.21981814828513,128.3819543002187,126.33553352006076,123.2766992982076,120.92563207909868,139.79053508450042,119.97311674527404,121.35036286016312,138.87380497480964,137.70480740171368,116.59373773181638,130.33378297698314,124.8592540563934,125.54889352923615,127.86533492351792,131.0691733396484,116.33312572200876,125.45977469622603,126.5767406501106,124.77468378422414,122.90541859193124,122.32065057842878,115.90604680941648,134.69283923976232,127.25144755405522,115.94692079988668
Tree22,113.3089119510999,109.1366871542112,112.29003756721566,116.5156115645966,107.39449017365384,116.5943487467324,110.99845376100934,115.39085178024348,116.95425302543032,116.73563284770825,108.62887462004666,109.33791149820956,103.41193752958516,117.778886926661,110.97330134056396,113.97463792997809,116.7735460700396,124.69262234440627,115.14984982097349,119.22562823000924,129.83498283895415,0.0,118.465798256294,114.15908841184849,116.29878298653188,111.22459473711378,109.03037860193568,119.46414420481965,125.91596553269316,124.9936032117533,115.2504944527121,118.54749087883896,122.7862552418052,128.64866329029704,110.41086740510691,120.1742932460722,118.79083128288651,106.6150224168286,114.60744476609494,107.12686695755484,114.12710544406484,126.8097709645822,104.55199613009216,101.11268183574242,110.95136477031508,105.89353920172869,108.55500319578616,121.27741167577764,114.259789822152,123.37357469284522
Tree23,129.26987838847273,119.97266843170526,129.95301573816872,132.65745819331596,123.33493793695057,137.43546733739842,124.95813171582289,142.0309981567442,131.4724810033874,124.31138940738924,119.15083567148918,124.33340460303803,116.4105246112331,118.28563505216806,128.11091376097215,136.75902215573137,138.10050336413673,132.94095276766726,128.19535285785776,126.55969282867312,135.04408148439524,118.465798256294,0.0,128.71488247126285,141.25264476985816,123.1492659051413,126.89433364519404,142.89376032122712,142.56016300162935,131.86982828861653,122.16505088030054,131.234946713427,138.17003060726051,133.05092836121003,115.26691880878148,130.19882498089305,113.3309591668408,125.70828761047056,107.4433094397036,116.27101786809352,125.43566902521086,123.47727023162344,124.68112153119452,121.228743729285,119.64606990603714,121.56396947142228,121.15271577269787,126.28091143238048,129.5199075844057,124.30634116383663
Tree24,120.88663647755142,115.38929040932226,120.45894289961734,104.61055843252493,106.05348352468314,109.59379974611475,100.31269814199008,125.68852852303412,113.94652782755826,114.7711652599758,115.20246730788185,114.94402859071434,105.93807750048964,112.78689266376604,111.80753515153243,110.25307182728044,115.78906361294948,110.51323075611172,118.02579818726213,120.34797890174052,126.85067273688988,114.15908841184849,128.71488247126285,0.0,112.74156175979832,113.7291462494358,108.35766201475646,125.10174118122067,116.69751897836382,122.10155045572438,97.77368344048972,112.55539688767166,118.66420347078206,111.95838368825446,100.4338687138425,112.13776051295883,109.72289682624728,104.94896432273616,120.1460426661274,102.42338101029485,110.56693849557846,112.43417831765122,102.21012491758329,115.7814228374496,109.39129537625428,116.72753341404068,112.30982274585904,107.1078916979934,104.51687393404168,104.94574840719208
Tree25,119.4779347236311,134.63712440127242,116.5177732873462,107.70217722099493,117.37331572783287,110.49074997779154,115.59950061079508,108.86430894745136,119.33338137869964,123.43518438108904,132.73274646847818,128.14088497566746,117.0477974275074,127.5471579926948,125.170405161599,135.8120107540347,126.20808501837529,123.0105337228173,125.17963223793114,139.70202912076172,141.21981814828513,116.29878298653188,141.25264476985816,112.74156175979832,0.0,125.81681545843831,126.90264795176591,133.51716733399783,124.90047617875072,116.12188906143416,112.5419818315972,107.71918740521906,116.52209482107432,132.60522711992155,117.4286307192147,126.64729589919638,123.5570288770638,112.09633811101426,123.25720793542428,127.32437575301468,118.40257521388509,134.71086696250774,112.848940169088,131.0907647843818,119.0823030156074,123.04513062067336,135.56060289777423,130.88932831647568,128.9751146332503,133.44543522815803
Tree26,117.0905914080422,121.79664428339832,120.22456517062642,124.2590937695946,112.52073682493376,109.78364736896825,103.52640301024827,116.35825485651448,117.9321847368745,114.32821229826548,119.60571970068852,110.74296713247531,106.9084265259758,117.5136893326848,102.08216248327672,114.4849100769882,126.4611483229314,116.75730837233822,114.76036723475968,114.17947356465056,128.3819543002187,111.22459473711378,123.1492659051413,113.7291462494358,125.81681545843831,0.0,104.94434380968914,110.51329792188918,112.03554880617212,126.05870208832336,106.32787284959272,109.86343464788928,115.66907264419356,125.08157115310078,95.7054006197762,116.93710238428932,103.55629566258672,113.93530287461934,121.51085510191804,111.11823139073633,114.13234611079876,118.03484595241376,116.23089306735925,115.19319834326876,92.34676230337206,101.10014524972382,110.91159762024728,115.58359626167083,122.09224669734655,120.20942737505592
Tree27,114.09114528995616,112.87559924758104,126.00878263254172,119.13731574937978,109.31410272708553,117.87522416485376,106.67582169666956,123.04527734560118,111.73362479346702,112.2664285178681,115.19707809170458,111.27179136171765,106.19028281829203,115.7095454254204,94.7573361938752,119.5567301595451,128.13487188597628,116.56912866951428,112.0100559640782,113.93280376381186,126.33553352006076,109.03037860193568,126.89433364519404,108.35766201475646,126.90264795176591,104.94434380968914,0.0,125.70426974287416,113.0759829997512,125.60931572383376,89.9152689436336,121.51830735939424,109.21939051370374,115.24701554570144,101.56132625928714,115.93734888860908,107.9332219760149,113.6950028182459,103.05356836786672,115.4657677077599,117.95834844425002,111.39547912967738,101.81253756259804,113.58718255854802,99.70731628951236,112.837353036606,107.90596482985634,102.98878231267354,108.51132796227594,112.93110335076284
Tree28,121.41851855956575,120.1681829958362,117.1538252847214,125.31614845709257,111.50705594915014,120.64497610243586,112.87782886018934,134.21446940653922,115.7026020589918,113.76820904493408,131.63992265544795,119.273933091159,109.60750745956254,133.37687488310036,128.68172339040845,122.51209516918794,121.36358546574915,124.1158438900076,99.02832460356834,132.2485197516511,123.2766992982076,119.46414420481965,142.89376032122712,125.10174118122067,133.51716733399783,110.51329792188918,125.70426974287416,0.0,126.05751983481656,130.34210060527872,123.39500127830564,127.9352026736478,125.1108151791578,123.97394798276174,108.92286115866727,123.51099292218622,113.75987193570872,125.00419508855788,131.96218874719062,118.54150782393272,122.59808448487247,132.73789668025435,124.90275917496972,118.52393914425998,110.00683244205186,114.17346847594284,123.49784036189568,130.14262971977394,130.07263823378128,136.5348575015035
Tree29,114.1228488391853,111.18898934736382,129.57319157421745,114.06227519661958,120.39796323199978,111.4441555626931,106.94371464380164,120.75179382701768,124.581414286905,126.30335795274722,119.41031369783322,127.05196005324224,113.10165154161392,130.73056037491116,108.84286699624734,132.83141520544464,135.80487718895748,108.73171205112833,121.059746982344,124.96973517564577,120.92563207909868,125.91596553269316,142.56016300162935,116.69751897836382,124.90047617875072,112.03554880617212,113.0759829997512,126.05751983481656,0.0,120.12643644352028,110.99113933101634,113.04102574799924,115.71063174358528,126.49409142967832,110.46673907066554,135.75153043204529,109.80745042543684,118.1962730811522,123.81657631996556,124.40490920727386,124.40016222166028,129.2233532771361,120.05753014120404,122.33171758276184,107.37180448598328,121.50692197027212,128.35469523658537,124.35822988576362,117.61565864143394,123.88488166441302
Tree30,117.43416244579866,129.07645588901377,117.69409189032322,113.70304923341128,117.8439312169768,118.63491350836672,119.88609033246904,121.99807877248912,140.70318990563763,132.4712993300811,121.37364458537157,111.93371950006387,118.001355666053,127.24802133600392,129.18529315356943,141.32608953933553,131.23179846923733,121.500750252951,129.85954248342512,133.80709682805738,139.79053508450042,124.9936032117533,131.86982828861653,122.10155045572438,116.12188906143416,126.05870208832336,125.60931572383376,130.34210060527872,120.12643644352028,0.0,121.31054267518402,116.43447777222528,114.49863729354423,129.3618748934987,122.3917483519606,135.63134660656718,124.63635896298682,117.56683517807492,126.84417000361849,114.72607847985796,114.81316010104936,133.4425243014826,113.68303755113756,119.78981190214571,118.83931767042404,125.73570266806814,125.96108888229472,120.6521875506657,133.1157270865352,133.34466126640368
Tree31,119.5220925656898,114.6635601350707,114.1838327479365,105.08999931007232,102.23195853740329,105.91100903599752,99.87541012969686,109.60353637406352,110.33051343451352,107.91989476561474,115.6237276995901,111.65865391098232,100.52152702093088,110.38133570100564,103.47897144205632,112.04471838280011,115.4753292232028,109.27138881906984,109.5857941024482,122.67132292642268,119.97311674527404,115.2504944527121,122.16505088030054,97.77368344048972,112.5419818315972,106.32787284959272,89.9152689436336,123.39500127830564,110.99113933101634,121.31054267518402,0.0,109.32662238235764,110.71814849029413,112.80615493098938,95.15993386048146,117.34186485084656,102.2668534034806,104.03247978552862,102.95116869164,115.4270395361964,116.91114337944882,109.7117512936827,101.78328015692196,111.30190771410238,97.53898976989724,106.55135905044808,115.68863106079404,101.8793505688898,107.81741753929936,110.20748478514282
Tree32,117.26805684216173,124.45841303142429,114.82136584046955,114.6925481099409,116.23212812022676,101.3016509118858,104.645543928029,114.40533121098184,115.95114645976412,105.0692223247226,119.31174053458729,116.76748539474248,106.9637929984088,122.8159882616598,119.76021780098488,119.8821502045262,125.60268109284128,108.80520709200792,119.22213639289107,121.59830042186168,121.35036286016312,118.54749087883896,131.234946713427,112.55539688767166,107.71918740521906,109.86343464788928,121.51830735939424,127.9352026736478,113.04102574799924,116.43447777222528,109.32662238235764,0.0,107.326273578608,127.83486675172428,107.2855891119973,118.97409450142476,113.8986686756732,113.64487095381313,123.13138685138485,114.89194794799448,108.348163322676,121.55524828707088,104.83334596828148,127.2999117589599,116.41669779619278,116.8629111048804,106.16384929281472,119.02905578484722,120.6817324020288,117.08024943021204
Tree33,122.67080303583022,127.52184221399668,115.9340216443436,113.85381716944092,122.56865586646556,110.5823159742662,116.96632208851872,121.76362867639506,123.51745760191884,121.38232300111925,131.20135793489004,120.08479740061736,109.67152586968224,128.2621250564141,116.6554347800922,132.21584147212832,131.58996158787906,114.764989987176,115.0033642060513,124.73932626076352,138.87380497480964,122.7862552418052,138.17003060726051,118.66420347078206,116.52209482107432,115.66907264419356,109.21939051370374,125.1108151791578,115.71063174358528,114.49863729354423,110.71814849029413,107.326273578608,0.0,126.54223572088796,111.87387298312814,118.45808821213085,113.5801198073235,120.13747182672144,114.59881293656196,119.93622052027835,119.49282245112558,127.02538905433842,108.72739796847422,120.3024593216162,108.99866906817928,116.53374700067076,125.83551704675702,117.79775261242284,112.21610785229444,123.704098895068
