Locus,mean_p,crossmatch500_n150,crossmatch1000_n150
1,0.0,3.7815155489203834e-14,0.6125471298438041
2,0.08,3.7815155489203834e-14,0.7300736583970024
3,0.24,5.803165383582759e-09,0.3564403050771985
4,0.0,1.4465852510016045e-35,0.7300736583970024
5,0.02,1.4517975705766154e-19,0.8264751653621575
6,0.0,1.4517975705766154e-19,0.4836456816169032
7,0.84,3.7815155489203834e-14,0.3564403050771985
8,0.0,1.4465852510016045e-35,0.153278693470297
9,0.0,1.0672425798920681e-16,0.2434943083534172
10,0.0,3.946587227974094e-21,0.0884747940227254
11,0.0,1.4465852510016045e-35,0.153278693470297
12,0.04,2.034165714854055e-38,0.8264751653621575
13,0.0,1.0672425798920681e-16,0.153278693470297
14,0.08,4.159819683607584e-08,0.3564403050771985
15,0.04,4.337143986205486e-18,0.6125471298438041
16,0.0,1.4517975705766154e-19,0.7300736583970024
17,0.7,4.337143986205486e-18,0.2434943083534172
18,0.18,7.090295024924208e-10,0.6125471298438041
19,0.0,1.791489302730929e-28,0.6125471298438041
20,0.66,1.4537580228912626e-24,0.0097235777100825
21,0.34,6.972812605535759e-12,0.2434943083534172
22,0.0,3.946587227974094e-21,0.4836456816169032
23,0.4,4.337143986205486e-18,0.8975934104885139
24,0.0,2.1891373068121547e-15,0.3564403050771985
25,0.68,7.090295024924208e-10,0.4836456816169032
26,0.16,3.7815155489203834e-14,0.9447607606698496
27,0.06,7.090295024924208e-10,0.4836456816169032
28,0.02,3.946587227974094e-21,0.022360515618607
29,0.0,1.4537580228912626e-24,0.6125471298438041
30,0.24,7.090295024924208e-10,0.0466314598556144
31,0.0,6.972812605535759e-12,0.7300736583970024
32,0.06,7.090295024924208e-10,0.6125471298438041
33,0.34,7.55113285047831e-11,0.0884747940227254
34,0.1,5.549670323303732e-13,0.4836456816169032
35,0.0,1.791489302730929e-28,0.7300736583970024
36,0.18,7.090295024924208e-10,0.7300736583970024
37,0.0,1.879886123549499e-26,0.6125471298438041
38,0.46,1.2037696161728785e-30,0.2434943083534172
